Account,Counterparty,OrderID,OrderPrice,OrderQty,Side,Market,Symbol,VenueExecID,TradePrice,TradeQty,TradeTime,PrimaryPriceFlag,PrimaryLastPx,PrimaryBidPx,PrimaryAskPx
RSIT_ACCOUNT_6,RSEC_PROP,6411315300100 ,0,1,1,ROL,4661,1.66661E+18,5407,1,45085.413474511,1,5394,5394,5395
RSIT_ACCOUNT_9,RSEC_PROP,9408512200100 ,0,2,1,ROL,6758,1.66661E+18,13550,2,45085.413547961,1,13520,13515,13520
RSIT_ACCOUNT_6,RSEC_PROP,6411328900100 ,0,2,1,ROL,5020,1.66661E+18,488,2,45085.413735959,1,485.9,485.8,486
RSIT_ACCOUNT_6,RSEC_PROP,6411343600100 ,0,2,2,ROL,3349,1.66661E+18,13819,2,45085.414016821,1,13860,13850,13860
RSIT_ACCOUNT_6,RSEC_PROP,6411345700100 ,0,1,1,ROL,6361,1.66661E+18,6544,1,45085.414067578,1,6521,6525,6529
RSIT_ACCOUNT_6,RSEC_PROP,6411356300100 ,0,3,2,ROL,9101,1.66661E+18,3090,3,45085.414304536,1,3097,3097,3098
RSIT_ACCOUNT_6,RSEC_PROP,6411366700100 ,0,1,1,ROL,8001,1.66661E+18,5187,1,45085.414518371,1,5174,5173,5175
RSIT_ACCOUNT_9,RSEC_PROP,9408554300100 ,0,10,2,ROL,6857,1.66661E+18,17246,10,45085.414608561,1,17290,17285,17290
RSIT_ACCOUNT_9,RSEC_PROP,9408556900100 ,0,1,1,ROL,9432,1.66661E+18,4107,1,45085.41467557,1,4096,4096,4097
RSIT_ACCOUNT_6,RSEC_PROP,6411375100100 ,0,10,1,ROL,8802,1.66661E+18,1689,10,45085.414718141,1,1684.5,1684,1684.5
RSIT_ACCOUNT_9,RSEC_PROP,9408558400100 ,0,1,1,ROL,4452,1.66661E+18,5034,1,45085.414719158,1,5022,5020,5022
RSIT_ACCOUNT_6,RSEC_PROP,6411378700100 ,0,1,2,ROL,9984,1.66661E+18,6003,1,45085.414781996,1,6018,6017,6018
RSIT_ACCOUNT_6,RSEC_PROP,6411381000100 ,0,1,2,ROL,9684,1.66661E+18,6437,1,45085.414844339,1,6454,6452,6455
RSIT_ACCOUNT_6,RSEC_PROP,6411386500100 ,0,1,1,ROL,6723,1.66661E+18,2403,1,45085.414939751,1,2397,2396,2397
RSIT_ACCOUNT_6,RSEC_PROP,6411389900100 ,0,1,1,ROL,7012,1.66661E+18,3522,1,45085.415003049,1,3513,3513,3514
RSIT_ACCOUNT_6,RSEC_PROP,6411392000100 ,0,2,1,ROL,6861,1.66661E+18,68030,2,45085.415041423,1,67870,67850,67880
RSIT_ACCOUNT_6,RSEC_PROP,6411396000100 ,0,1,2,ROL,7735,1.66661E+18,14971,1,45085.415139961,1,15010,15005,15015
RSIT_ACCOUNT_6,RSEC_PROP,6411396300100 ,0,1,1,ROL,8308,1.66661E+18,653,1,45085.415141966,1,650.8,650.8,650.9
RSIT_ACCOUNT_6,RSEC_PROP,6411397700100 ,0,1,1,ROL,9432,1.66661E+18,4108,1,45085.415167139,1,4098,4096,4098
RSIT_ACCOUNT_6,RSEC_PROP,6411407200100 ,0,1,2,ROL,6920,1.66661E+18,20839,1,45085.415343807,1,20890,20885,20895
RSIT_ACCOUNT_6,RSEC_PROP,6411417600100 ,0,1,1,ROL,8697,1.66661E+18,2366,1,45085.415562263,1,2359.5,2359,2360
RSIT_ACCOUNT_9,RSEC_PROP,9408595100100 ,0,6,2,ROL,8316,1.66661E+18,5713,6,45085.415579801,1,5726,5726,5727
RSIT_ACCOUNT_6,RSEC_PROP,6411427000100 ,0,1,2,ROL,6857,1.66661E+18,17266,1,45085.4157804,1,17305,17305,17315
RSIT_ACCOUNT_9,RSEC_PROP,9408606600100 ,0,20,2,ROL,8411,1.66661E+18,2115,20,45085.415866206,1,2120,2120,2120.5
RSIT_ACCOUNT_6,RSEC_PROP,6411436700100 ,0,10,2,ROL,4523,1.66661E+18,10422,10,45085.415984284,1,10445,10445,10455
RSIT_ACCOUNT_6,RSEC_PROP,6411442400100 ,0,1,1,ROL,4452,1.66661E+18,5039,1,45085.416111998,1,5026,5025,5027
RSIT_ACCOUNT_9,RSEC_PROP,9408616600100 ,0,4,2,ROL,8591,1.66661E+18,2442,4,45085.416115155,1,2448,2447.5,2448
RSIT_ACCOUNT_6,RSEC_PROP,6411450800100 ,0,1,1,ROL,2267,1.66661E+18,9209,1,45085.416300011,1,9185,9183,9188
RSIT_ACCOUNT_9,RSEC_PROP,9408624700100 ,0,3,2,ROL,8750,1.66661E+18,2502,3,45085.416330182,1,2509.5,2508.5,2509.5
RSIT_ACCOUNT_9,RSEC_PROP,9408629100100 ,0,2,2,ROL,8002,1.66661E+18,2128,2,45085.416464277,1,2133.5,2133,2133.5
RSIT_ACCOUNT_9,RSEC_PROP,9408629900100 ,0,4,1,ROL,9432,1.66661E+18,4107,4,45085.416484854,1,4097,4096,4097
RSIT_ACCOUNT_6,RSEC_PROP,6411462200100 ,0,4,2,ROL,6367,1.66661E+18,27968,4,45085.416534739,1,28035,28030,28040
RSIT_ACCOUNT_9,RSEC_PROP,9408633300100 ,0,1,2,ROL,8630,1.66661E+18,6138,1,45085.416580154,1,6153,6152,6155
RSIT_ACCOUNT_9,RSEC_PROP,9408638200100 ,0,4,2,ROL,8113,1.66661E+18,5367,4,45085.416732345,1,5380,5379,5381
RSIT_ACCOUNT_9,RSEC_PROP,9408639700100 ,0,3,2,ROL,8766,1.66661E+18,3196,3,45085.416781959,1,3204,3204,3205
